iter	Passed	Remaining
0	148	148610
1	150	74935
2	151	50219
3	152	37854
4	153	30457
5	154	25533
6	155	22012
7	156	19378
8	157	17318
9	158	15672
10	159	14346
11	160	13217
12	161	12252
13	162	11430
14	163	10725
15	164	10107
16	165	9556
17	166	9068
18	167	8632
19	168	8241
20	169	7885
21	170	7558
22	170	7259
23	172	6994
24	173	6752
25	174	6521
26	174	6305
27	175	6109
28	176	5922
29	177	5746
30	178	5584
31	179	5436
32	180	5297
33	181	5162
34	182	5033
35	183	4911
36	184	4801
37	185	4695
38	186	4590
39	187	4491
40	188	4399
41	189	4312
42	189	4226
43	190	4146
44	191	4071
45	192	3996
46	193	3925
47	194	3860
48	195	3798
49	196	3739
50	197	3683
51	199	3628
52	199	3572
53	201	3522
54	201	3470
55	202	3419
56	203	3371
57	204	3326
58	205	3280
59	206	3238
60	207	3196
61	209	3168
62	210	3136
63	211	3099
64	213	3069
65	218	3086
66	220	3077
67	223	3065
68	225	3037
69	226	3005
70	228	2983
71	229	2959
72	231	2941
73	232	2912
74	234	2886
75	235	2857
76	235	2828
77	236	2798
78	237	2770
79	238	2742
80	239	2715
81	240	2692
82	240	2662
83	241	2637
84	242	2614
85	244	2596
86	245	2573
87	246	2552
88	247	2530
89	248	2508
90	248	2486
91	249	2466
92	250	2445
93	251	2425
94	252	2409
95	253	2391
96	254	2371
97	255	2352
98	256	2333
99	257	2314
100	258	2297
101	259	2282
102	260	2265
103	261	2250
104	262	2235
105	263	2219
106	264	2204
107	265	2191
108	266	2177
109	267	2163
110	268	2148
111	269	2133
112	269	2118
113	270	2104
114	271	2091
115	272	2079
116	273	2066
117	274	2052
118	275	2040
119	276	2026
120	277	2014
121	278	2002
122	279	1990
123	280	1979
124	281	1967
125	282	1956
126	282	1943
127	283	1932
128	284	1922
129	285	1912
130	286	1901
131	287	1890
132	288	1879
133	289	1869
134	290	1863
135	292	1855
136	292	1845
137	293	1835
138	294	1824
139	295	1815
140	297	1810
141	299	1809
142	300	1802
143	301	1794
144	303	1787
145	304	1780
146	305	1772
147	306	1765
148	307	1757
149	308	1749
150	310	1747
151	313	1746
152	314	1741
153	316	1739
154	317	1731
155	318	1723
156	319	1716
157	320	1710
158	322	1705
159	323	1697
160	323	1688
161	324	1680
162	325	1673
163	327	1670
164	328	1664
165	329	1657
166	330	1649
167	331	1642
168	332	1636
169	334	1633
170	335	1626
171	336	1619
172	337	1613
173	338	1608
174	340	1603
175	341	1597
176	342	1592
177	343	1586
178	344	1581
179	346	1576
180	347	1571
181	348	1565
182	349	1559
183	350	1554
184	351	1549
185	352	1543
186	354	1540
187	355	1535
188	357	1532
189	358	1528
190	359	1523
191	360	1517
192	361	1511
193	364	1512
194	365	1508
195	366	1504
196	367	1498
197	368	1493
198	371	1494
199	372	1491
200	373	1486
201	375	1482
202	379	1490
203	382	1492
204	384	1489
205	385	1484
206	386	1480
207	387	1476
208	389	1474
209	391	1471
210	392	1468
211	393	1463
212	395	1459
213	396	1457
214	397	1453
215	398	1447
216	399	1442
217	400	1437
218	401	1432
219	402	1428
220	403	1423
221	405	1420
222	406	1416
223	407	1412
224	408	1408
225	409	1403
226	411	1401
227	413	1400
228	414	1397
229	416	1392
230	417	1389
231	419	1388
232	420	1384
233	422	1381
234	423	1379
235	425	1378
236	427	1375
237	428	1371
238	429	1367
239	430	1364
240	433	1364
241	434	1362
242	436	1359
243	437	1356
244	440	1356
245	441	1353
246	442	1349
247	444	1347
248	446	1347
249	448	1346
250	450	1343
251	451	1339
252	452	1335
253	453	1331
254	454	1328
255	456	1325
256	458	1326
257	459	1322
258	461	1319
259	462	1317
260	464	1315
261	465	1312
262	467	1309
263	471	1313
264	473	1312
265	475	1312
266	476	1309
267	478	1305
268	479	1301
269	480	1298
270	482	1296
271	484	1297
272	485	1293
273	488	1293
274	490	1292
275	491	1289
276	493	1287
277	495	1287
278	496	1284
279	498	1281
280	500	1280
281	502	1278
282	503	1275
283	504	1273
284	506	1271
285	508	1268
286	509	1266
287	512	1266
288	514	1264
289	515	1261
290	519	1265
291	521	1264
292	523	1263
293	526	1265
294	529	1265
295	532	1266
296	534	1265
297	537	1267
298	539	1265
299	542	1264
300	544	1265
301	546	1262
302	547	1260
303	549	1258
304	551	1255
305	552	1252
306	553	1250
307	555	1247
308	556	1244
309	557	1239
310	557	1235
311	558	1232
312	559	1228
313	560	1225
314	562	1222
315	563	1219
316	564	1215
317	565	1212
318	566	1210
319	567	1206
320	568	1203
321	569	1199
322	570	1195
323	571	1192
324	573	1190
325	574	1187
326	575	1183
327	575	1179
328	576	1175
329	577	1172
330	578	1170
331	580	1167
332	581	1164
333	582	1161
334	583	1157
335	585	1157
336	586	1154
337	587	1151
338	588	1147
339	589	1144
340	590	1141
341	592	1139
342	593	1136
343	594	1132
344	595	1129
345	595	1126
346	597	1123
347	598	1121
348	599	1118
349	600	1115
350	601	1111
351	602	1108
352	603	1106
353	605	1104
354	606	1101
355	607	1098
356	608	1095
357	609	1093
358	611	1092
359	612	1089
360	614	1086
361	616	1086
362	617	1083
363	618	1080
364	619	1077
365	620	1074
366	621	1072
367	623	1070
368	624	1067
369	625	1064
370	626	1061
371	628	1060
372	629	1058
373	630	1055
374	631	1053
375	633	1050
376	634	1048
377	635	1046
378	636	1043
379	637	1040
380	639	1038
381	640	1036
382	641	1033
383	642	1031
384	643	1028
385	644	1025
386	646	1024
387	648	1022
388	649	1020
389	650	1017
390	652	1016
391	655	1016
392	656	1014
393	658	1013
394	661	1013
395	663	1011
396	665	1010
397	666	1008
398	668	1007
399	670	1005
400	671	1003
401	673	1001
402	674	999
403	680	1003
404	682	1002
405	685	1002
406	686	1000
407	688	998
408	689	995
409	690	993
410	691	991
411	692	988
412	693	986
413	694	983
414	696	981
415	696	978
416	697	975
417	698	973
418	699	970
419	700	967
420	701	965
421	702	962
422	703	960
423	704	957
424	705	954
425	706	952
426	707	949
427	708	947
428	710	945
429	710	942
430	711	939
431	713	937
432	714	935
433	715	932
434	716	930
435	717	927
436	718	925
437	719	922
438	720	920
439	721	917
440	722	915
441	722	912
442	723	910
443	724	907
444	725	904
445	726	902
446	727	900
447	728	897
448	729	895
449	730	892
450	731	890
451	732	888
452	733	885
453	734	883
454	735	880
455	736	878
456	737	876
457	738	873
458	739	871
459	740	869
460	741	866
461	742	864
462	743	862
463	744	859
464	745	857
465	746	854
466	746	852
467	747	849
468	748	847
469	749	844
470	749	842
471	750	839
472	751	837
473	752	835
474	753	832
475	754	830
476	755	827
477	756	825
478	757	823
479	758	821
480	758	818
481	759	816
482	760	813
483	761	811
484	761	808
485	762	806
486	763	804
487	764	802
488	765	799
489	766	797
490	767	795
491	767	792
492	768	790
493	769	788
494	770	785
495	771	783
496	771	781
497	772	778
498	773	776
499	774	774
500	775	772
501	776	770
502	776	767
503	777	765
504	778	763
505	779	760
506	780	758
507	781	756
508	782	754
509	783	752
510	784	751
511	785	748
512	786	746
513	787	744
514	788	742
515	789	740
516	790	738
517	791	736
518	792	734
519	793	732
520	794	730
521	795	728
522	796	726
523	797	724
524	798	722
525	799	720
526	800	718
527	801	716
528	802	714
529	803	712
530	804	710
531	804	708
532	805	705
533	806	703
534	807	701
535	808	700
536	809	698
537	810	696
538	811	694
539	812	692
540	814	690
541	815	689
542	816	687
543	817	685
544	818	683
545	819	681
546	821	680
547	822	678
548	823	676
549	824	674
550	826	673
551	827	671
552	828	669
553	829	667
554	830	666
555	831	664
556	832	662
557	834	660
558	834	658
559	835	656
560	836	654
561	837	653
562	838	651
563	839	649
564	840	647
565	841	645
566	842	643
567	843	641
568	844	639
569	845	637
570	846	636
571	847	634
572	849	632
573	849	630
574	851	629
575	852	627
576	853	625
577	854	623
578	854	621
579	855	619
580	856	617
581	857	615
582	858	614
583	859	612
584	860	610
585	861	608
586	862	606
587	863	604
588	864	603
589	865	601
590	866	599
591	867	597
592	867	595
593	868	593
594	869	592
595	870	590
596	871	588
597	872	586
598	872	584
599	873	582
600	874	580
601	875	578
602	876	577
603	877	575
604	878	573
605	878	571
606	879	569
607	880	567
608	881	565
609	881	563
610	882	562
611	883	560
612	884	558
613	885	556
614	886	554
615	887	553
616	888	551
617	889	549
618	890	547
619	890	546
620	891	544
621	892	542
622	893	540
623	894	538
624	895	537
625	896	535
626	897	533
627	898	532
628	899	530
629	900	528
630	900	526
631	901	525
632	903	523
633	904	521
634	905	520
635	906	518
636	908	517
637	909	516
638	910	514
639	911	512
640	912	511
641	914	509
642	915	508
643	916	506
644	917	504
645	917	502
646	918	501
647	919	499
648	920	497
649	921	496
650	922	494
651	923	492
652	924	491
653	925	489
654	926	487
655	927	486
656	928	484
657	929	483
658	930	481
659	931	479
660	932	478
661	933	476
662	934	474
663	934	473
664	935	471
665	936	469
666	937	467
667	938	466
668	939	464
669	939	462
670	940	461
671	941	459
672	942	458
673	943	456
674	944	454
675	945	453
676	946	451
677	947	449
678	947	448
679	948	446
680	949	444
681	950	443
682	951	441
683	952	440
684	953	438
685	954	436
686	955	435
687	956	433
688	957	432
689	958	430
690	959	429
691	960	427
692	962	426
693	963	424
694	964	423
695	965	421
696	966	420
697	967	418
698	968	417
699	970	415
700	971	414
701	972	412
702	974	411
703	975	410
704	976	408
705	977	407
706	978	405
707	979	404
708	980	402
709	981	400
710	982	399
711	984	398
712	985	396
713	986	394
714	987	393
715	987	391
716	989	390
717	990	388
718	990	387
719	991	385
720	992	384
721	994	382
722	995	381
723	996	379
724	997	378
725	997	376
726	998	375
727	999	373
728	1000	371
